반납일자,반납확정일자,등록자ID,등록자명,승인상태,G2B_목록번호,G2B_목록명,물품고유번호,취득일자,취득금액,정리일자,운용부서,운용상태,물품상태,사유
2022-06-14,2022-06-23,badbergjr,박대리,확정,5612179825656485,"칠판보조장, 정운시스템, JWBB18212, (부품)전자칠판거치판, 1800×235×1200mm",M201812408,2018-05-30,7800000,2018-06-12,경상대학RC행정팀(ERICA),반납,폐품,사용연한경과
2023-04-12,2023-04-21,badbergjr,박대리,확정,5612179825656485,"칠판보조장, 정운시스템, JWBB18212, (부품)전자칠판거치판, 1800×235×1200mm",M201812409,2018-05-30,7800000,2018-06-12,경상대학RC행정팀(ERICA),반납,폐품,사용연한경과
2019-07-15,2019-07-23,badbergjr,박대리,확정,5612179825656485,"칠판보조장, 정운시스템, JWBB18212, (부품)전자칠판거치판, 1800×235×1200mm",M201812410,2018-05-30,7800000,2018-06-12,경상대학RC행정팀(ERICA),반납,중고품,불용결정
2026-01-05,2026-01-16,badbergjr,박대리,확정,5612179825656485,"칠판보조장, 정운시스템, JWBB18212, (부품)전자칠판거치판, 1800×235×1200mm",M201812411,2018-05-30,7800000,2018-06-12,경상대학RC행정팀(ERICA),반납,폐품,사용연한경과
2023-09-03,2023-09-14,badbergjr,박대리,확정,5612179825656485,"칠판보조장, 정운시스템, JWBB18212, (부품)전자칠판거치판, 1800×235×1200mm",M201812413,2018-05-30,7800000,2018-06-12,경상대학RC행정팀(ERICA),반납,폐품,사용연한경과
2023-03-23,2023-03-29,badbergjr,박대리,확정,5612179825656485,"칠판보조장, 정운시스템, JWBB18212, (부품)전자칠판거치판, 1800×235×1200mm",M201812425,2018-02-19,5826000,2018-02-24,글로벌문화통상대학RC행정팀(ERICA),반납,정비필요품,고장/파손
2023-07-30,2023-08-09,badbergjr,박대리,확정,5612179825656485,"칠판보조장, 정운시스템, JWBB18212, (부품)전자칠판거치판, 1800×235×1200mm",M201812428,2018-02-19,5826000,2018-02-24,글로벌문화통상대학RC행정팀(ERICA),반납,폐품,사용연한경과
2025-12-07,,badbergjr,박대리,반려,5612179825656485,"칠판보조장, 정운시스템, JWBB18212, (부품)전자칠판거치판, 1800×235×1200mm",M201812429,2018-02-19,5826000,2018-02-24,글로벌문화통상대학RC행정팀(ERICA),운용,정비필요품,고장/파손
2021-07-23,2021-08-06,badbergjr,박대리,확정,5612179825656485,"칠판보조장, 정운시스템, JWBB18212, (부품)전자칠판거치판, 1800×235×1200mm",M201812430,2018-02-19,5826000,2018-02-24,글로벌문화통상대학RC행정팀(ERICA),반납,중고품,불용결정
2023-07-15,,badbergjr,박대리,반려,5612179825656485,"칠판보조장, 정운시스템, JWBB18212, (부품)전자칠판거치판, 1800×235×1200mm",M201812431,2018-02-19,5826000,2018-02-24,글로벌문화통상대학RC행정팀(ERICA),운용,신품,잉여물품
2025-07-07,2025-07-21,badbergjr,박대리,확정,5612179825656485,"칠판보조장, 정운시스템, JWBB18212, (부품)전자칠판거치판, 1800×235×1200mm",M201812432,2018-02-19,5826000,2018-02-24,글로벌문화통상대학RC행정팀(ERICA),반납,신품,잉여물품
2024-04-05,2024-04-17,badbergjr,박대리,확정,4411191126082440,"인터랙티브화이트보드, 보성전자, BSI-P24K, 59.94cm, 전자유도방식/전자펜/전자교탁형",M202012433,2020-03-28,25130000,2020-04-05,공학대학RC행정팀(ERICA),반납,정비필요품,고장/파손
2024-09-27,2024-10-11,badbergjr,박대리,확정,4411191126082440,"인터랙티브화이트보드, 보성전자, BSI-P24K, 59.94cm, 전자유도방식/전자펜/전자교탁형",M202012434,2020-03-28,25130000,2020-04-05,공학대학RC행정팀(ERICA),반납,폐품,사용연한경과
2021-12-03,2021-12-16,badbergjr,박대리,확정,4411191126082440,"인터랙티브화이트보드, 보성전자, BSI-P24K, 59.94cm, 전자유도방식/전자펜/전자교탁형",M202012435,2020-03-28,25130000,2020-04-05,공학대학RC행정팀(ERICA),반납,신품,잉여물품
2025-06-05,2025-06-09,badbergjr,박대리,확정,4411191126082440,"인터랙티브화이트보드, 보성전자, BSI-P24K, 59.94cm, 전자유도방식/전자펜/전자교탁형",M202012436,2020-03-28,25130000,2020-04-05,공학대학RC행정팀(ERICA),반납,중고품,사업종료
2024-12-23,,badbergjr,박대리,대기,4411191126082440,"인터랙티브화이트보드, 보성전자, BSI-P24K, 59.94cm, 전자유도방식/전자펜/전자교탁형",M202012438,2020-03-28,25130000,2020-04-05,공학대학RC행정팀(ERICA),운용,중고품,불용결정
2022-06-04,2022-06-13,badbergjr,박대리,확정,4411191126082440,"인터랙티브화이트보드, 보성전자, BSI-P24K, 59.94cm, 전자유도방식/전자펜/전자교탁형",M202012440,2020-03-28,25130000,2020-04-05,공학대학RC행정팀(ERICA),반납,폐품,사용연한경과
2021-06-10,2021-06-14,badbergjr,박대리,확정,5611210226112769,"작업용의자, 에코우드, ECO-L003H, 610×680×1185mm",M201512441,2015-10-06,5141000,2015-10-19,경상대학RC행정팀(ERICA),반납,폐품,사용연한경과
2022-07-13,2022-07-27,badbergjr,박대리,확정,5611210226112769,"작업용의자, 에코우드, ECO-L003H, 610×680×1185mm",M201512442,2015-10-06,5141000,2015-10-19,경상대학RC행정팀(ERICA),반납,중고품,불용결정
2018-08-16,,badbergjr,박대리,반려,5611210226112769,"작업용의자, 에코우드, ECO-L003H, 610×680×1185mm",M201512443,2015-10-06,5141000,2015-10-19,경상대학RC행정팀(ERICA),운용,폐품,사용연한경과
2021-04-10,2021-04-13,badbergjr,박대리,확정,5611210226112769,"작업용의자, 에코우드, ECO-L003H, 610×680×1185mm",M201512444,2015-10-06,5141000,2015-10-19,경상대학RC행정팀(ERICA),반납,폐품,사용연한경과
2020-03-11,2020-03-16,badbergjr,박대리,확정,5611210226112769,"작업용의자, 에코우드, ECO-L003H, 610×680×1185mm",M201512445,2015-10-06,5141000,2015-10-19,경상대학RC행정팀(ERICA),반납,폐품,사용연한경과
2025-11-23,,badbergjr,박대리,대기,5611210226112769,"작업용의자, 에코우드, ECO-L003H, 610×680×1185mm",M201512446,2015-10-06,5141000,2015-10-19,경상대학RC행정팀(ERICA),운용,폐품,사용연한경과
2021-07-06,2021-07-20,badbergjr,박대리,확정,5611210226112769,"작업용의자, 에코우드, ECO-L003H, 610×680×1185mm",M201512447,2015-10-06,5141000,2015-10-19,경상대학RC행정팀(ERICA),반납,정비필요품,고장/파손
2020-05-01,2020-05-14,badbergjr,박대리,확정,5611210226112769,"작업용의자, 에코우드, ECO-L003H, 610×680×1185mm",M201512448,2015-10-06,5141000,2015-10-19,경상대학RC행정팀(ERICA),반납,정비필요품,고장/파손
2024-10-14,,badbergjr,박대리,대기,5611210226112769,"작업용의자, 에코우드, ECO-L003H, 610×680×1185mm",M201512449,2015-10-06,5141000,2015-10-19,경상대학RC행정팀(ERICA),운용,폐품,사용연한경과
2021-06-26,2021-07-05,badbergjr,박대리,확정,5611210226112769,"작업용의자, 에코우드, ECO-L003H, 610×680×1185mm",M201512456,2015-10-06,5141000,2015-10-19,경상대학RC행정팀(ERICA),반납,중고품,불용결정
2024-08-06,2024-08-19,badbergjr,박대리,확정,5611210226112769,"작업용의자, 에코우드, ECO-L003H, 610×680×1185mm",M201512458,2015-10-06,5141000,2015-10-19,경상대학RC행정팀(ERICA),반납,폐품,사용연한경과
2021-01-26,2021-01-29,badbergjr,박대리,확정,5611210226112769,"작업용의자, 에코우드, ECO-L003H, 610×680×1185mm",M201512459,2015-10-06,5141000,2015-10-19,경상대학RC행정팀(ERICA),반납,폐품,사용연한경과
2022-12-15,2022-12-29,badbergjr,박대리,확정,5611210226112769,"작업용의자, 에코우드, ECO-L003H, 610×680×1185mm",M201512460,2015-10-06,5141000,2015-10-19,경상대학RC행정팀(ERICA),반납,정비필요품,고장/파손
2023-01-14,2023-01-26,badbergjr,박대리,확정,5611210226112769,"작업용의자, 에코우드, ECO-L003H, 610×680×1185mm",M201512462,2015-10-06,5141000,2015-10-19,경상대학RC행정팀(ERICA),반납,중고품,사업종료
2020-01-21,2020-01-30,badbergjr,박대리,확정,5611210226112769,"작업용의자, 에코우드, ECO-L003H, 610×680×1185mm",M201512463,2015-10-06,5141000,2015-10-19,경상대학RC행정팀(ERICA),반납,중고품,불용결정
2019-09-12,2019-09-25,badbergjr,박대리,확정,5611210226112769,"작업용의자, 에코우드, ECO-L003H, 610×680×1185mm",M201512464,2015-10-06,5141000,2015-10-19,경상대학RC행정팀(ERICA),반납,중고품,불용결정
2017-07-27,2017-08-09,badbergjr,박대리,확정,5611210226112769,"작업용의자, 에코우드, ECO-L003H, 610×680×1185mm",M201512465,2015-10-06,5141000,2015-10-19,경상대학RC행정팀(ERICA),반납,폐품,사용연한경과
2025-10-27,2025-11-01,badbergjr,박대리,확정,4321210525911926,"레이저프린터, Ricoh, (CN)P 310, A4/흑백/32ppm",M202212474,2022-09-26,1102000,2022-10-03,시설팀(ERICA),반납,신품,잉여물품
2025-08-03,,badbergjr,박대리,대기,4321210525911926,"레이저프린터, Ricoh, (CN)P 310, A4/흑백/32ppm",M202212475,2022-09-26,1102000,2022-10-03,시설팀(ERICA),운용,중고품,사업종료
2025-10-23,2025-10-31,badbergjr,박대리,확정,5610159725964887,"서랍형수납장, 라온시스템가구, D-400-60-2, 500×400×558mm",M202212476,2022-12-22,923000,2023-01-04,학생지원팀(ERICA),반납,폐품,사용연한경과
2024-08-04,,badbergjr,박대리,반려,5610159725964887,"서랍형수납장, 라온시스템가구, D-400-60-2, 500×400×558mm",M202212480,2022-12-22,923000,2023-01-04,학생지원팀(ERICA),운용,폐품,사용연한경과
2021-02-04,2021-02-15,badbergjr,박대리,확정,4321150726111329,"데스크톱컴퓨터, 한성컴퓨터, K15-5B71651V0, (내)Ultra 5 235(3.4GHz)/(외)Ultra 5 225(3.3GHz)",M201912489,2019-07-05,4937000,2019-07-19,소프트웨어융합대학RC행정팀(ERICA),반납,중고품,불용결정
2025-07-01,2025-07-13,badbergjr,박대리,확정,4321150726111329,"데스크톱컴퓨터, 한성컴퓨터, K15-5B71651V0, (내)Ultra 5 235(3.4GHz)/(외)Ultra 5 225(3.3GHz)",M201912490,2019-07-05,4937000,2019-07-19,소프트웨어융합대학RC행정팀(ERICA),반납,중고품,불용결정
2023-08-17,2023-08-22,badbergjr,박대리,확정,4321150726111329,"데스크톱컴퓨터, 한성컴퓨터, K15-5B71651V0, (내)Ultra 5 235(3.4GHz)/(외)Ultra 5 225(3.3GHz)",M201912491,2019-07-05,4937000,2019-07-19,소프트웨어융합대학RC행정팀(ERICA),반납,중고품,사업종료
2023-04-14,2023-04-23,badbergjr,박대리,확정,4321150726111329,"데스크톱컴퓨터, 한성컴퓨터, K15-5B71651V0, (내)Ultra 5 235(3.4GHz)/(외)Ultra 5 225(3.3GHz)",M201912492,2019-07-05,4937000,2019-07-19,소프트웨어융합대학RC행정팀(ERICA),반납,정비필요품,고장/파손
2023-08-02,2023-08-07,badbergjr,박대리,확정,4322261025578661,"허브, Belkin, (US)INC002, 7port",M202012493,2020-04-27,262000,2020-05-10,학생지원팀(ERICA),반납,중고품,불용결정
2021-10-05,2021-10-14,badbergjr,박대리,확정,5610159725964887,"서랍형수납장, 라온시스템가구, D-400-60-2, 500×400×558mm",M201512498,2015-03-14,1748000,2015-03-28,소프트웨어융합대학RC행정팀(ERICA),반납,중고품,불용결정
2022-08-17,2022-08-27,badbergjr,박대리,확정,5610159725964887,"서랍형수납장, 라온시스템가구, D-400-60-2, 500×400×558mm",M201512499,2015-03-14,1748000,2015-03-28,소프트웨어융합대학RC행정팀(ERICA),반납,신품,잉여물품
2020-09-29,2020-10-03,badbergjr,박대리,확정,5610159725964887,"서랍형수납장, 라온시스템가구, D-400-60-2, 500×400×558mm",M201512500,2015-03-14,1748000,2015-03-28,소프트웨어융합대학RC행정팀(ERICA),반납,신품,잉여물품
2023-10-07,,badbergjr,박대리,반려,5610159725964887,"서랍형수납장, 라온시스템가구, D-400-60-2, 500×400×558mm",M201512502,2015-03-14,1748000,2015-03-28,소프트웨어융합대학RC행정팀(ERICA),운용,신품,잉여물품
2021-09-22,2021-10-01,badbergjr,박대리,확정,4511160125414806,"포인터, 초이스테크놀로지, XPM180Y, 유효거리 50m",M201712504,2017-10-24,110000,2017-11-06,경상대학RC행정팀(ERICA),반납,신품,잉여물품
2019-07-22,2019-07-28,badbergjr,박대리,확정,4511160125414806,"포인터, 초이스테크놀로지, XPM180Y, 유효거리 50m",M201712505,2017-10-24,110000,2017-11-06,경상대학RC행정팀(ERICA),반납,중고품,불용결정
2023-05-19,2023-05-30,badbergjr,박대리,확정,4322260926066170,"라우터, Netgear, (US)PR60X",M201812506,2018-09-26,2531000,2018-10-10,경상대학RC행정팀(ERICA),반납,폐품,사용연한경과
2022-06-19,2022-06-30,badbergjr,박대리,확정,4322260926066170,"라우터, Netgear, (US)PR60X",M201812507,2018-09-26,2531000,2018-10-10,경상대학RC행정팀(ERICA),반납,폐품,사용연한경과
2025-12-10,2025-12-22,badbergjr,박대리,확정,4322260926066170,"라우터, Netgear, (US)PR60X",M201812508,2018-09-26,2531000,2018-10-10,경상대학RC행정팀(ERICA),반납,폐품,사용연한경과
2025-12-13,,badbergjr,박대리,대기,4322260926066170,"라우터, Netgear, (US)PR60X",M201812510,2018-09-26,2531000,2018-10-10,경상대학RC행정팀(ERICA),운용,폐품,사용연한경과
2025-04-11,2025-04-23,badbergjr,박대리,확정,5610170326113315,"책상, 신흥, SH-DEAGB11, 1180×780×600~1130mm, 1인용",M201812511,2018-09-18,5207000,2018-09-24,공학대학RC행정팀(ERICA),반납,중고품,사업종료
2023-01-30,2023-02-06,badbergjr,박대리,확정,5610170326113315,"책상, 신흥, SH-DEAGB11, 1180×780×600~1130mm, 1인용",M201812514,2018-09-18,5207000,2018-09-24,공학대학RC행정팀(ERICA),반납,중고품,불용결정
2021-07-08,2021-07-21,badbergjr,박대리,확정,5610170326113315,"책상, 신흥, SH-DEAGB11, 1180×780×600~1130mm, 1인용",M201812516,2018-09-18,5207000,2018-09-24,공학대학RC행정팀(ERICA),반납,폐품,사용연한경과
2025-04-29,2025-05-05,badbergjr,박대리,확정,5610170326113315,"책상, 신흥, SH-DEAGB11, 1180×780×600~1130mm, 1인용",M201812520,2018-09-18,5207000,2018-09-24,공학대학RC행정팀(ERICA),반납,폐품,사용연한경과
2023-05-03,2023-05-12,badbergjr,박대리,확정,5610170326113315,"책상, 신흥, SH-DEAGB11, 1180×780×600~1130mm, 1인용",M201812521,2018-09-18,5207000,2018-09-24,공학대학RC행정팀(ERICA),반납,폐품,사용연한경과
2023-12-28,2024-01-07,badbergjr,박대리,확정,5610170326113315,"책상, 신흥, SH-DEAGB11, 1180×780×600~1130mm, 1인용",M201812522,2018-09-18,5207000,2018-09-24,공학대학RC행정팀(ERICA),반납,폐품,사용연한경과
2020-05-15,2020-05-19,badbergjr,박대리,확정,5610170326113315,"책상, 신흥, SH-DEAGB11, 1180×780×600~1130mm, 1인용",M201812524,2018-09-18,5207000,2018-09-24,공학대학RC행정팀(ERICA),반납,신품,잉여물품
2023-09-27,2023-10-04,badbergjr,박대리,확정,5610170326113315,"책상, 신흥, SH-DEAGB11, 1180×780×600~1130mm, 1인용",M201812525,2018-09-18,5207000,2018-09-24,공학대학RC행정팀(ERICA),반납,중고품,불용결정
2023-06-09,,badbergjr,박대리,반려,5610170326113315,"책상, 신흥, SH-DEAGB11, 1180×780×600~1130mm, 1인용",M201812526,2018-09-18,5207000,2018-09-24,공학대학RC행정팀(ERICA),운용,폐품,사용연한경과
2023-02-17,2023-03-01,badbergjr,박대리,확정,5610159725964887,"서랍형수납장, 라온시스템가구, D-400-60-2, 500×400×558mm",M201812527,2018-03-28,1148000,2018-04-01,글로벌문화통상대학RC행정팀(ERICA),반납,중고품,사업종료
2021-11-03,2021-11-09,badbergjr,박대리,확정,5610159725964887,"서랍형수납장, 라온시스템가구, D-400-60-2, 500×400×558mm",M201812528,2018-03-28,1148000,2018-04-01,글로벌문화통상대학RC행정팀(ERICA),반납,폐품,사용연한경과
2025-10-19,,badbergjr,박대리,대기,5610159725964887,"서랍형수납장, 라온시스템가구, D-400-60-2, 500×400×558mm",M201812529,2018-03-28,1148000,2018-04-01,글로벌문화통상대학RC행정팀(ERICA),운용,중고품,사업종료
2025-03-19,,badbergjr,박대리,반려,5610159725964887,"서랍형수납장, 라온시스템가구, D-400-60-2, 500×400×558mm",M201812530,2018-03-28,1148000,2018-04-01,글로벌문화통상대학RC행정팀(ERICA),운용,중고품,불용결정
2020-09-12,2020-09-26,badbergjr,박대리,확정,5610159725964887,"서랍형수납장, 라온시스템가구, D-400-60-2, 500×400×558mm",M201812531,2018-03-28,1148000,2018-04-01,글로벌문화통상대학RC행정팀(ERICA),반납,중고품,불용결정
2025-08-09,2025-08-21,badbergjr,박대리,확정,5610159725964887,"서랍형수납장, 라온시스템가구, D-400-60-2, 500×400×558mm",M201812532,2018-03-28,1148000,2018-04-01,글로벌문화통상대학RC행정팀(ERICA),반납,중고품,불용결정
2025-10-22,2025-10-30,badbergjr,박대리,확정,4322261025578661,"허브, Belkin, (US)INC002, 7port",M201712534,2017-10-20,753000,2017-10-24,소프트웨어융합대학RC행정팀(ERICA),반납,중고품,사업종료
2023-09-02,2023-09-07,badbergjr,박대리,확정,4322261025578661,"허브, Belkin, (US)INC002, 7port",M201712535,2017-10-20,753000,2017-10-24,소프트웨어융합대학RC행정팀(ERICA),반납,정비필요품,고장/파손
2022-04-23,2022-05-02,badbergjr,박대리,확정,4322261025578661,"허브, Belkin, (US)INC002, 7port",M201712537,2017-10-20,753000,2017-10-24,소프트웨어융합대학RC행정팀(ERICA),반납,정비필요품,고장/파손
2025-06-09,,badbergjr,박대리,대기,4322261025578661,"허브, Belkin, (US)INC002, 7port",M201712538,2017-10-20,753000,2017-10-24,소프트웨어융합대학RC행정팀(ERICA),운용,폐품,사용연한경과
2020-06-28,2020-07-05,badbergjr,박대리,확정,4322261025578661,"허브, Belkin, (US)INC002, 7port",M201712540,2017-10-20,753000,2017-10-24,소프트웨어융합대학RC행정팀(ERICA),반납,폐품,사용연한경과
2023-11-14,2023-11-28,badbergjr,박대리,확정,4321190226108810,"액정모니터, 알파스캔디스플레이, (CN)16T20, 39.5cm",M202212544,2022-07-30,824000,2022-08-02,글로벌문화통상대학RC행정팀(ERICA),반납,중고품,불용결정
2023-11-07,2023-11-14,badbergjr,박대리,확정,4321150726111329,"데스크톱컴퓨터, 한성컴퓨터, K15-5B71651V0, (내)Ultra 5 235(3.4GHz)/(외)Ultra 5 225(3.3GHz)",M202112549,2021-09-15,7702000,2021-09-28,경상대학RC행정팀(ERICA),반납,폐품,사용연한경과
2022-11-27,2022-12-10,badbergjr,박대리,확정,4321150726111329,"데스크톱컴퓨터, 한성컴퓨터, K15-5B71651V0, (내)Ultra 5 235(3.4GHz)/(외)Ultra 5 225(3.3GHz)",M202112553,2021-09-15,7702000,2021-09-28,경상대학RC행정팀(ERICA),반납,중고품,사업종료
2022-12-21,2022-12-31,badbergjr,박대리,확정,4321150726111329,"데스크톱컴퓨터, 한성컴퓨터, K15-5B71651V0, (내)Ultra 5 235(3.4GHz)/(외)Ultra 5 225(3.3GHz)",M202112554,2021-09-15,7702000,2021-09-28,경상대학RC행정팀(ERICA),반납,중고품,불용결정
2024-11-17,,badbergjr,박대리,대기,5610159725964887,"서랍형수납장, 라온시스템가구, D-400-60-2, 500×400×558mm",M201512556,2015-06-04,2067000,2015-06-15,학생지원팀(ERICA),운용,폐품,사용연한경과
2019-01-22,2019-01-31,badbergjr,박대리,확정,5610159725964887,"서랍형수납장, 라온시스템가구, D-400-60-2, 500×400×558mm",M201512557,2015-06-04,2067000,2015-06-15,학생지원팀(ERICA),반납,폐품,사용연한경과
2022-12-09,2022-12-12,badbergjr,박대리,확정,5610159725964887,"서랍형수납장, 라온시스템가구, D-400-60-2, 500×400×558mm",M201512558,2015-06-04,2067000,2015-06-15,학생지원팀(ERICA),반납,폐품,사용연한경과
2018-01-05,2018-01-18,badbergjr,박대리,확정,5610159725964887,"서랍형수납장, 라온시스템가구, D-400-60-2, 500×400×558mm",M201512560,2015-06-04,2067000,2015-06-15,학생지원팀(ERICA),반납,중고품,불용결정
2024-12-22,,badbergjr,박대리,대기,5610159725964887,"서랍형수납장, 라온시스템가구, D-400-60-2, 500×400×558mm",M201512561,2015-06-04,2067000,2015-06-15,학생지원팀(ERICA),운용,정비필요품,고장/파손
2024-02-05,2024-02-16,badbergjr,박대리,확정,5610159725964887,"서랍형수납장, 라온시스템가구, D-400-60-2, 500×400×558mm",M201512563,2015-06-04,2067000,2015-06-15,학생지원팀(ERICA),반납,폐품,사용연한경과
2021-07-25,2021-08-05,badbergjr,박대리,확정,5610159725964887,"서랍형수납장, 라온시스템가구, D-400-60-2, 500×400×558mm",M201512564,2015-06-04,2067000,2015-06-15,학생지원팀(ERICA),반납,폐품,사용연한경과
2024-12-10,2024-12-19,badbergjr,박대리,확정,4321150726111329,"데스크톱컴퓨터, 한성컴퓨터, K15-5B71651V0, (내)Ultra 5 235(3.4GHz)/(외)Ultra 5 225(3.3GHz)",M202212568,2022-03-30,11292000,2022-04-09,소프트웨어융합대학RC행정팀(ERICA),반납,폐품,사용연한경과
2024-11-11,2024-11-17,badbergjr,박대리,확정,4321150726111329,"데스크톱컴퓨터, 한성컴퓨터, K15-5B71651V0, (내)Ultra 5 235(3.4GHz)/(외)Ultra 5 225(3.3GHz)",M202212570,2022-03-30,11292000,2022-04-09,소프트웨어융합대학RC행정팀(ERICA),반납,폐품,사용연한경과
2024-02-26,2024-03-03,badbergjr,박대리,확정,4321150726111329,"데스크톱컴퓨터, 한성컴퓨터, K15-5B71651V0, (내)Ultra 5 235(3.4GHz)/(외)Ultra 5 225(3.3GHz)",M202212571,2022-03-30,11292000,2022-04-09,소프트웨어융합대학RC행정팀(ERICA),반납,신품,잉여물품
2021-05-11,2021-05-21,badbergjr,박대리,확정,4320180326048280,"하드디스크드라이브, Lenovo, (CN)4XB7A88027, 22TB",M201712576,2017-09-26,6893000,2017-10-02,글로벌문화통상대학RC행정팀(ERICA),반납,중고품,사업종료
2021-06-13,2021-06-24,badbergjr,박대리,확정,4320180326048280,"하드디스크드라이브, Lenovo, (CN)4XB7A88027, 22TB",M201712578,2017-09-26,6893000,2017-10-02,글로벌문화통상대학RC행정팀(ERICA),반납,폐품,사용연한경과
2023-04-26,2023-05-05,badbergjr,박대리,확정,4320180326048280,"하드디스크드라이브, Lenovo, (CN)4XB7A88027, 22TB",M201712579,2017-09-26,6893000,2017-10-02,글로벌문화통상대학RC행정팀(ERICA),반납,폐품,사용연한경과
2025-07-16,2025-07-25,badbergjr,박대리,확정,4320180326048280,"하드디스크드라이브, Lenovo, (CN)4XB7A88027, 22TB",M201712581,2017-09-26,6893000,2017-10-02,글로벌문화통상대학RC행정팀(ERICA),반납,폐품,사용연한경과
2021-08-21,2021-09-02,badbergjr,박대리,확정,4320180326048280,"하드디스크드라이브, Lenovo, (CN)4XB7A88027, 22TB",M201712582,2017-09-26,6893000,2017-10-02,글로벌문화통상대학RC행정팀(ERICA),반납,중고품,불용결정
2025-03-28,2025-03-31,badbergjr,박대리,확정,4321150726111329,"데스크톱컴퓨터, 한성컴퓨터, K15-5B71651V0, (내)Ultra 5 235(3.4GHz)/(외)Ultra 5 225(3.3GHz)",M202012585,2020-02-19,9336000,2020-02-28,학생지원팀(ERICA),반납,폐품,사용연한경과
2021-10-02,,badbergjr,박대리,반려,4321150726111329,"데스크톱컴퓨터, 한성컴퓨터, K15-5B71651V0, (내)Ultra 5 235(3.4GHz)/(외)Ultra 5 225(3.3GHz)",M202012587,2020-02-19,9336000,2020-02-28,학생지원팀(ERICA),운용,정비필요품,고장/파손
2021-07-04,2021-07-17,badbergjr,박대리,확정,4321150726111329,"데스크톱컴퓨터, 한성컴퓨터, K15-5B71651V0, (내)Ultra 5 235(3.4GHz)/(외)Ultra 5 225(3.3GHz)",M202012588,2020-02-19,9336000,2020-02-28,학생지원팀(ERICA),반납,중고품,불용결정
2021-08-01,2021-08-07,badbergjr,박대리,확정,4321150726111329,"데스크톱컴퓨터, 한성컴퓨터, K15-5B71651V0, (내)Ultra 5 235(3.4GHz)/(외)Ultra 5 225(3.3GHz)",M202012589,2020-02-19,9336000,2020-02-28,학생지원팀(ERICA),반납,중고품,불용결정
2021-06-15,2021-06-24,badbergjr,박대리,확정,4321150726111329,"데스크톱컴퓨터, 한성컴퓨터, K15-5B71651V0, (내)Ultra 5 235(3.4GHz)/(외)Ultra 5 225(3.3GHz)",M202012590,2020-02-19,9336000,2020-02-28,학생지원팀(ERICA),반납,폐품,사용연한경과
2019-03-15,2019-03-28,badbergjr,박대리,확정,4411191126082440,"인터랙티브화이트보드, 보성전자, BSI-P24K, 59.94cm, 전자유도방식/전자펜/전자교탁형",M201712591,2017-09-13,9065000,2017-09-21,경상대학RC행정팀(ERICA),반납,폐품,사용연한경과
2022-06-29,2022-07-11,badbergjr,박대리,확정,4411191126082440,"인터랙티브화이트보드, 보성전자, BSI-P24K, 59.94cm, 전자유도방식/전자펜/전자교탁형",M201712592,2017-09-13,9065000,2017-09-21,경상대학RC행정팀(ERICA),반납,중고품,사업종료
2021-02-01,2021-02-05,badbergjr,박대리,확정,4411191126082440,"인터랙티브화이트보드, 보성전자, BSI-P24K, 59.94cm, 전자유도방식/전자펜/전자교탁형",M201612594,2016-09-16,25471000,2016-09-30,경상대학RC행정팀(ERICA),반납,신품,잉여물품
2025-03-04,2025-03-15,badbergjr,박대리,확정,4411191126082440,"인터랙티브화이트보드, 보성전자, BSI-P24K, 59.94cm, 전자유도방식/전자펜/전자교탁형",M201612596,2016-09-16,25471000,2016-09-30,경상대학RC행정팀(ERICA),반납,폐품,사용연한경과
2020-09-06,2020-09-11,badbergjr,박대리,확정,4411191126082440,"인터랙티브화이트보드, 보성전자, BSI-P24K, 59.94cm, 전자유도방식/전자펜/전자교탁형",M201612597,2016-09-16,25471000,2016-09-30,경상대학RC행정팀(ERICA),반납,중고품,사업종료
2025-01-25,,badbergjr,박대리,대기,4411191126082440,"인터랙티브화이트보드, 보성전자, BSI-P24K, 59.94cm, 전자유도방식/전자펜/전자교탁형",M201612600,2016-09-16,25471000,2016-09-30,경상대학RC행정팀(ERICA),운용,정비필요품,고장/파손
2018-08-02,2018-08-11,badbergjr,박대리,확정,4411191126082440,"인터랙티브화이트보드, 보성전자, BSI-P24K, 59.94cm, 전자유도방식/전자펜/전자교탁형",M201612601,2016-09-16,25471000,2016-09-30,경상대학RC행정팀(ERICA),반납,중고품,불용결정
2025-09-27,2025-10-09,badbergjr,박대리,확정,4321210525911926,"레이저프린터, Ricoh, (CN)P 310, A4/흑백/32ppm",M201612602,2016-10-18,3384000,2016-10-31,경상대학RC행정팀(ERICA),반납,폐품,사용연한경과
2022-09-19,2022-09-27,badbergjr,박대리,확정,4321210525911926,"레이저프린터, Ricoh, (CN)P 310, A4/흑백/32ppm",M201612603,2016-10-18,3384000,2016-10-31,경상대학RC행정팀(ERICA),반납,폐품,사용연한경과
2021-02-22,2021-03-02,badbergjr,박대리,확정,4321210525911926,"레이저프린터, Ricoh, (CN)P 310, A4/흑백/32ppm",M201612604,2016-10-18,3384000,2016-10-31,경상대학RC행정팀(ERICA),반납,중고품,사업종료
2019-05-15,2019-05-19,badbergjr,박대리,확정,4321210525911926,"레이저프린터, Ricoh, (CN)P 310, A4/흑백/32ppm",M201612606,2016-10-18,3384000,2016-10-31,경상대학RC행정팀(ERICA),반납,폐품,사용연한경과
