처분일자,처분확정일자,처분정리구분,등록자ID,등록자명,승인상태,G2B_목록번호,G2B_목록명,물품고유번호,취득일자,취득금액,처분방식,물품상태,사유,불용일자,내용연수,정리일자
2017-02-13,2017-03-26,매각,hyl0610,황팀장,확정,4322260926066170,"라우터, Netgear, (US)PR60X",M201614781,2016-10-23,4360000,매각,중고품,사업종료,2017-02-05,6,2016-10-29
2021-08-23,,매각,hyl0610,황팀장,반려,4410160126057578,"종이절단기, Siser north america, (CN)Romeo, 920×180×200mm",M202014831,2020-12-12,3762000,매각,중고품,불용결정,2021-08-12,8,2020-12-19
2017-06-01,2017-08-17,폐기,hyl0610,황팀장,확정,4322261025578661,"허브, Belkin, (US)INC002, 7port",M201614838,2016-03-25,845000,폐기,폐품,사용연한경과,2017-05-21,5,2016-04-04
2019-01-24,2019-02-27,폐기,hyl0610,황팀장,확정,4511160125414806,"포인터, 초이스테크놀로지, XPM180Y, 유효거리 50m",M201714875,2017-12-28,365000,폐기,정비필요품,고장/파손,2019-01-20,5,2018-01-01
2018-11-02,2019-01-23,폐기,hyl0610,황팀장,확정,5610170326113315,"책상, 신흥, SH-DEAGB11, 1180×780×600~1130mm, 1인용",M201814882,2018-06-13,12633000,폐기,정비필요품,고장/파손,2018-10-25,10,2018-06-21
2018-12-30,2019-03-12,폐기,hyl0610,황팀장,확정,5610170326113315,"책상, 신흥, SH-DEAGB11, 1180×780×600~1130mm, 1인용",M201814890,2018-06-13,12633000,폐기,폐품,사용연한경과,2018-12-27,10,2018-06-21
2018-10-11,2018-11-23,매각,hyl0610,황팀장,확정,5610170326113315,"책상, 신흥, SH-DEAGB11, 1180×780×600~1130mm, 1인용",M201814896,2018-06-13,12633000,매각,중고품,사업종료,2018-09-27,10,2018-06-21
2019-01-10,2019-02-18,폐기,hyl0610,황팀장,확정,5610170326113315,"책상, 신흥, SH-DEAGB11, 1180×780×600~1130mm, 1인용",M201814906,2018-06-13,12633000,폐기,폐품,사용연한경과,2019-01-03,10,2018-06-21
2019-03-29,2019-06-25,폐기,hyl0610,황팀장,확정,4410160126057578,"종이절단기, Siser north america, (CN)Romeo, 920×180×200mm",M201814990,2018-08-08,3731000,폐기,폐품,사용연한경과,2019-03-28,8,2018-08-11
2015-08-11,2015-09-11,폐기,hyl0610,황팀장,확정,5611210824928465,"책걸상, 의자공장 플러스, PLU-PL01, 575×700×830mm",M201515010,2015-03-19,4289000,폐기,폐품,사용연한경과,2015-07-31,10,2015-03-24
2015-08-18,2015-10-02,매각,hyl0610,황팀장,확정,5611210824928465,"책걸상, 의자공장 플러스, PLU-PL01, 575×700×830mm",M201515013,2015-03-19,4289000,매각,중고품,사업종료,2015-08-09,10,2015-03-24
2015-08-03,2015-09-27,폐기,hyl0610,황팀장,확정,5611210824928465,"책걸상, 의자공장 플러스, PLU-PL01, 575×700×830mm",M201515014,2015-03-19,4289000,폐기,정비필요품,고장/파손,2015-08-01,10,2015-03-24
2017-05-25,2017-06-28,폐기,hyl0610,황팀장,확정,5611210824928465,"책걸상, 의자공장 플러스, PLU-PL01, 575×700×830mm",M201615025,2016-09-23,6951000,폐기,폐품,사용연한경과,2017-05-23,10,2016-10-07
2017-05-19,2017-06-26,폐기,hyl0610,황팀장,확정,5611210824928465,"책걸상, 의자공장 플러스, PLU-PL01, 575×700×830mm",M201615044,2016-09-23,6951000,폐기,정비필요품,고장/파손,2017-05-15,10,2016-10-07
2017-01-23,2017-04-12,폐기,hyl0610,황팀장,확정,5611210824928465,"책걸상, 의자공장 플러스, PLU-PL01, 575×700×830mm",M201615056,2016-09-23,6951000,폐기,폐품,직권 불용(파손/노후),2017-01-16,10,2016-10-07
2017-10-04,2017-12-24,매각,hyl0610,황팀장,확정,5611210824928465,"책걸상, 의자공장 플러스, PLU-PL01, 575×700×830mm",M201615074,2016-10-21,6058000,매각,중고품,사업종료,2017-09-22,10,2016-11-04
2025-10-27,,폐기,hyl0610,황팀장,대기,5611210824928465,"책걸상, 의자공장 플러스, PLU-PL01, 575×700×830mm",M201615086,2016-10-21,6058000,폐기,폐품,직권 불용(파손/노후),2017-02-19,10,2016-11-04
2017-12-02,2018-01-12,폐기,hyl0610,황팀장,확정,5611210824928465,"책걸상, 의자공장 플러스, PLU-PL01, 575×700×830mm",M201615090,2016-10-21,6058000,폐기,폐품,사용연한경과,2017-11-25,10,2016-11-04
2017-03-26,2017-05-11,폐기,hyl0610,황팀장,확정,5611210824928465,"책걸상, 의자공장 플러스, PLU-PL01, 575×700×830mm",M201615093,2016-10-21,6058000,폐기,정비필요품,고장/파손,2017-03-20,10,2016-11-04
2021-06-27,2021-09-22,폐기,hyl0610,황팀장,확정,4410160126057578,"종이절단기, Siser north america, (CN)Romeo, 920×180×200mm",M202015097,2020-10-04,3513000,폐기,폐품,사용연한경과,2021-06-25,8,2020-10-11
2021-10-30,2022-01-02,폐기,hyl0610,황팀장,확정,4410160126057578,"종이절단기, Siser north america, (CN)Romeo, 920×180×200mm",M202015101,2020-10-04,3513000,폐기,폐품,사용연한경과,2021-10-24,8,2020-10-11
2016-03-06,,폐기,hyl0610,황팀장,반려,5611210226112769,"작업용의자, 에코우드, ECO-L003H, 610×680×1185mm",M201515133,2015-09-30,1465000,폐기,폐품,직권 불용(파손/노후),2016-02-21,10,2015-10-04
2020-02-14,,매각,hyl0610,황팀장,반려,5611210824928465,"책걸상, 의자공장 플러스, PLU-PL01, 575×700×830mm",M201915152,2019-04-01,7207000,매각,중고품,불용결정,2020-02-01,10,2019-04-10
2020-02-23,2020-04-30,폐기,hyl0610,황팀장,확정,5611210824928465,"책걸상, 의자공장 플러스, PLU-PL01, 575×700×830mm",M201915155,2019-04-01,7207000,폐기,폐품,사용연한경과,2020-02-21,10,2019-04-10
2020-03-17,2020-05-25,폐기,hyl0610,황팀장,확정,5611210824928465,"책걸상, 의자공장 플러스, PLU-PL01, 575×700×830mm",M201915156,2019-04-01,7207000,폐기,정비필요품,고장/파손,2020-03-10,10,2019-04-10
2020-01-19,2020-02-20,매각,hyl0610,황팀장,확정,5611210824928465,"책걸상, 의자공장 플러스, PLU-PL01, 575×700×830mm",M201915158,2019-04-01,7207000,매각,중고품,불용결정,2020-01-06,10,2019-04-10
2024-10-19,,폐기,hyl0610,황팀장,대기,5611210824928465,"책걸상, 의자공장 플러스, PLU-PL01, 575×700×830mm",M201915167,2019-04-01,7207000,폐기,정비필요품,고장/파손,2019-07-15,10,2019-04-10
2019-12-17,2020-03-04,폐기,hyl0610,황팀장,확정,5611210824928465,"책걸상, 의자공장 플러스, PLU-PL01, 575×700×830mm",M201915179,2019-04-01,7207000,폐기,폐품,사용연한경과,2019-12-08,10,2019-04-10
2020-10-31,2020-12-20,폐기,hyl0610,황팀장,확정,4511160125414806,"포인터, 초이스테크놀로지, XPM180Y, 유효거리 50m",M201915214,2019-11-14,340000,폐기,폐품,사용연한경과,2020-10-29,5,2019-11-18
2020-07-28,2020-09-18,폐기,hyl0610,황팀장,확정,4511160125414806,"포인터, 초이스테크놀로지, XPM180Y, 유효거리 50m",M201915217,2019-11-14,340000,폐기,폐품,사용연한경과,2020-07-27,5,2019-11-18
2019-02-28,2019-05-01,폐기,hyl0610,황팀장,확정,4411191126082440,"인터랙티브화이트보드, 보성전자, BSI-P24K, 59.94cm, 전자유도방식/전자펜/전자교탁형",M201815233,2018-02-11,29409000,폐기,폐품,사용연한경과,2019-02-18,7,2018-02-19
2018-09-02,2018-11-05,폐기,hyl0610,황팀장,확정,4411191126082440,"인터랙티브화이트보드, 보성전자, BSI-P24K, 59.94cm, 전자유도방식/전자펜/전자교탁형",M201815234,2018-02-11,29409000,폐기,정비필요품,고장/파손,2018-08-28,7,2018-02-19
2018-11-12,2019-01-11,폐기,hyl0610,황팀장,확정,4411191126082440,"인터랙티브화이트보드, 보성전자, BSI-P24K, 59.94cm, 전자유도방식/전자펜/전자교탁형",M201815236,2018-02-11,29409000,폐기,폐품,사용연한경과,2018-11-09,7,2018-02-19
2019-03-26,2019-05-22,폐기,hyl0610,황팀장,확정,4321190226108810,"액정모니터, 알파스캔디스플레이, (CN)16T20, 39.5cm",M201815255,2018-12-07,1617000,폐기,정비필요품,고장/파손,2019-03-17,5,2018-12-16
2020-01-14,2020-03-06,매각,hyl0610,황팀장,확정,5611210226112769,"작업용의자, 에코우드, ECO-L003H, 610×680×1185mm",M201915281,2019-03-01,6573000,매각,정비필요품,고장/파손,2020-01-10,10,2019-03-13
2022-01-23,2022-03-31,폐기,hyl0610,황팀장,확정,4321190226108810,"액정모니터, 알파스캔디스플레이, (CN)16T20, 39.5cm",M202115285,2021-05-02,780000,폐기,정비필요품,고장/파손,2022-01-12,5,2021-05-07
2017-01-05,2017-02-24,폐기,hyl0610,황팀장,확정,4321150726111329,"데스크톱컴퓨터, 한성컴퓨터, K15-5B71651V0, (내)Ultra 5 235(3.4GHz)/(외)Ultra 5 225(3.3GHz)",M201615321,2016-03-20,9964000,폐기,정비필요품,고장/파손,2016-12-31,5,2016-04-03
2019-07-24,2019-10-14,폐기,hyl0610,황팀장,확정,5610170326113315,"책상, 신흥, SH-DEAGB11, 1180×780×600~1130mm, 1인용",M201815338,2018-08-08,13090000,폐기,폐품,사용연한경과,2019-07-23,10,2018-08-12
2019-05-14,2019-07-10,폐기,hyl0610,황팀장,확정,5610170326113315,"책상, 신흥, SH-DEAGB11, 1180×780×600~1130mm, 1인용",M201815343,2018-08-08,13090000,폐기,폐품,사용연한경과,2019-05-08,10,2018-08-12
2019-01-30,2019-04-14,폐기,hyl0610,황팀장,확정,5610170326113315,"책상, 신흥, SH-DEAGB11, 1180×780×600~1130mm, 1인용",M201815352,2018-08-08,13090000,폐기,폐품,사용연한경과,2019-01-28,10,2018-08-12
2020-05-24,,폐기,hyl0610,황팀장,반려,5610170326113315,"책상, 신흥, SH-DEAGB11, 1180×780×600~1130mm, 1인용",M201915378,2019-11-15,15640000,폐기,폐품,사용연한경과,2020-05-22,10,2019-11-27
2026-01-20,,폐기,hyl0610,황팀장,대기,5610170326113315,"책상, 신흥, SH-DEAGB11, 1180×780×600~1130mm, 1인용",M201915380,2019-11-15,15640000,폐기,정비필요품,고장/파손,2020-02-23,10,2019-11-27
2020-03-14,2020-05-15,폐기,hyl0610,황팀장,확정,5610170326113315,"책상, 신흥, SH-DEAGB11, 1180×780×600~1130mm, 1인용",M201915398,2019-11-15,15640000,폐기,정비필요품,고장/파손,2020-03-11,10,2019-11-27
2021-01-09,2021-02-17,폐기,hyl0610,황팀장,확정,5610170326113315,"책상, 신흥, SH-DEAGB11, 1180×780×600~1130mm, 1인용",M201915401,2019-11-15,15640000,폐기,정비필요품,고장/파손,2020-12-26,10,2019-11-27
2025-12-10,,폐기,hyl0610,황팀장,대기,5610170326113315,"책상, 신흥, SH-DEAGB11, 1180×780×600~1130mm, 1인용",M201915421,2019-11-15,15640000,폐기,폐품,사용연한경과,2020-07-16,10,2019-11-27
2020-07-20,2020-08-28,매각,hyl0610,황팀장,확정,5610170326113315,"책상, 신흥, SH-DEAGB11, 1180×780×600~1130mm, 1인용",M201915422,2019-11-15,15640000,매각,중고품,불용결정,2020-07-09,10,2019-11-27
2016-12-24,2017-02-15,폐기,hyl0610,황팀장,확정,4511160125414806,"포인터, 초이스테크놀로지, XPM180Y, 유효거리 50m",M201615437,2016-04-13,442000,폐기,폐품,사용연한경과,2016-12-12,5,2016-04-17
2017-01-17,2017-02-20,폐기,hyl0610,황팀장,확정,4511160125414806,"포인터, 초이스테크놀로지, XPM180Y, 유효거리 50m",M201615441,2016-04-13,442000,폐기,정비필요품,고장/파손,2017-01-04,5,2016-04-17
2017-05-11,2017-07-24,폐기,hyl0610,황팀장,확정,5611210226112769,"작업용의자, 에코우드, ECO-L003H, 610×680×1185mm",M201615450,2016-04-19,3624000,폐기,폐품,사용연한경과,2017-05-08,10,2016-04-26
2016-08-30,2016-10-22,폐기,hyl0610,황팀장,확정,5611210226112769,"작업용의자, 에코우드, ECO-L003H, 610×680×1185mm",M201615453,2016-04-19,3624000,폐기,폐품,직권 불용(파손/노후),2016-08-20,10,2016-04-26
2019-02-21,2019-04-18,매각,hyl0610,황팀장,확정,5610159725964887,"서랍형수납장, 라온시스템가구, D-400-60-2, 500×400×558mm",M201815461,2018-09-30,574000,매각,중고품,불용결정,2019-02-14,10,2018-10-05
2018-04-10,2018-06-10,매각,hyl0610,황팀장,확정,5612179825656485,"칠판보조장, 정운시스템, JWBB18212, (부품)전자칠판거치판, 1800×235×1200mm",M201715471,2017-09-15,7207000,매각,중고품,불용결정,2018-04-03,10,2017-09-29
2023-09-04,2023-11-13,폐기,hyl0610,황팀장,확정,5611210226112769,"작업용의자, 에코우드, ECO-L003H, 610×680×1185mm",M202215504,2022-07-26,6894000,폐기,정비필요품,고장/파손,2023-08-23,10,2022-08-05
2022-12-21,,매각,hyl0610,황팀장,반려,5611210226112769,"작업용의자, 에코우드, ECO-L003H, 610×680×1185mm",M202215510,2022-07-26,6894000,매각,중고품,불용결정,2022-12-19,10,2022-08-05
2017-07-04,2017-08-24,멸실,hyl0610,황팀장,확정,4411191126082440,"인터랙티브화이트보드, 보성전자, BSI-P24K, 59.94cm, 전자유도방식/전자펜/전자교탁형",M201715576,2017-03-20,15396000,멸실,폐품,사용연한경과,2017-06-22,7,2017-03-31
2016-08-05,2016-09-17,매각,hyl0610,황팀장,확정,5610159725964887,"서랍형수납장, 라온시스템가구, D-400-60-2, 500×400×558mm",M201515583,2015-09-08,851000,매각,중고품,사업종료,2016-07-26,10,2015-09-22
2025-02-06,,폐기,hyl0610,황팀장,대기,4321190226108810,"액정모니터, 알파스캔디스플레이, (CN)16T20, 39.5cm",M201615596,2016-11-14,2611000,폐기,폐품,직권 불용(파손/노후),2017-03-27,5,2016-11-19
2017-04-02,2017-06-22,폐기,hyl0610,황팀장,확정,4321190226108810,"액정모니터, 알파스캔디스플레이, (CN)16T20, 39.5cm",M201615600,2016-11-14,2611000,폐기,폐품,사용연한경과,2017-03-27,5,2016-11-19
2018-08-13,2018-10-30,폐기,hyl0610,황팀장,확정,4321150326103121,"노트북컴퓨터, Asus, (CN)B3605CCA-CP0004X, Intel Core Ultra 7 255H(2GHz), 액세사리별도",M201715610,2017-07-09,19378000,폐기,폐품,사용연한경과,2018-08-03,6,2017-07-15
2019-10-23,2019-12-28,폐기,hyl0610,황팀장,확정,5610170326113315,"책상, 신흥, SH-DEAGB11, 1180×780×600~1130mm, 1인용",M201915624,2019-01-11,17509000,폐기,폐품,사용연한경과,2019-10-20,10,2019-01-16
2019-07-18,2019-10-02,매각,hyl0610,황팀장,확정,5610170326113315,"책상, 신흥, SH-DEAGB11, 1180×780×600~1130mm, 1인용",M201915629,2019-01-11,17509000,매각,폐품,사용연한경과,2019-07-10,10,2019-01-16
2019-12-18,2020-01-20,매각,hyl0610,황팀장,확정,5610170326113315,"책상, 신흥, SH-DEAGB11, 1180×780×600~1130mm, 1인용",M201915635,2019-01-11,17509000,매각,중고품,사업종료,2019-12-06,10,2019-01-16
2017-11-27,2018-02-05,폐기,hyl0610,황팀장,확정,4411191126082440,"인터랙티브화이트보드, 보성전자, BSI-P24K, 59.94cm, 전자유도방식/전자펜/전자교탁형",M201715667,2017-07-08,16558000,폐기,폐품,직권 불용(파손/노후),2017-11-13,7,2017-07-13
2016-09-16,2016-11-28,폐기,hyl0610,황팀장,확정,4411191126082440,"인터랙티브화이트보드, 보성전자, BSI-P24K, 59.94cm, 전자유도방식/전자펜/전자교탁형",M201615695,2016-06-03,25877000,폐기,폐품,직권 불용(파손/노후),2016-09-07,7,2016-06-16
2019-11-13,2020-01-31,매각,hyl0610,황팀장,확정,5610170326113315,"책상, 신흥, SH-DEAGB11, 1180×780×600~1130mm, 1인용",M201915701,2019-03-21,5228000,매각,중고품,불용결정,2019-11-02,10,2019-03-30
2020-03-08,2020-05-29,폐기,hyl0610,황팀장,확정,5610170326113315,"책상, 신흥, SH-DEAGB11, 1180×780×600~1130mm, 1인용",M201915713,2019-03-21,5228000,폐기,폐품,사용연한경과,2020-03-02,10,2019-03-30
2021-04-05,2021-05-16,매각,hyl0610,황팀장,확정,4321171126101603,"스캐너, Kodak alaris, (CN)E1040, 600dpi",M202015798,2020-09-01,8339000,매각,중고품,불용결정,2021-03-23,6,2020-09-05
2021-07-31,2021-10-17,폐기,hyl0610,황팀장,확정,4321171126101603,"스캐너, Kodak alaris, (CN)E1040, 600dpi",M202015800,2020-09-01,8339000,폐기,정비필요품,고장/파손,2021-07-24,6,2020-09-05
2020-09-20,2020-11-15,폐기,hyl0610,황팀장,확정,4321190226108810,"액정모니터, 알파스캔디스플레이, (CN)16T20, 39.5cm",M202015813,2020-03-02,1617000,폐기,폐품,사용연한경과,2020-09-09,5,2020-03-13
2017-07-30,2017-10-07,매각,hyl0610,황팀장,확정,5610159725964887,"서랍형수납장, 라온시스템가구, D-400-60-2, 500×400×558mm",M201615843,2016-10-12,1648000,매각,중고품,불용결정,2017-07-18,10,2016-10-24
2017-08-16,2017-10-13,폐기,hyl0610,황팀장,확정,5610159725964887,"서랍형수납장, 라온시스템가구, D-400-60-2, 500×400×558mm",M201615849,2016-10-12,1648000,폐기,폐품,사용연한경과,2017-08-14,10,2016-10-24
2017-01-27,2017-04-27,폐기,hyl0610,황팀장,확정,5611210824928465,"책걸상, 의자공장 플러스, PLU-PL01, 575×700×830mm",M201515881,2015-12-28,1512000,폐기,폐품,사용연한경과,2017-01-19,10,2016-01-08
2015-10-20,2015-11-21,매각,hyl0610,황팀장,확정,5610170326113315,"책상, 신흥, SH-DEAGB11, 1180×780×600~1130mm, 1인용",M201515894,2015-01-26,9533000,매각,중고품,사업종료,2015-10-07,10,2015-01-31
2016-02-16,2016-04-28,폐기,hyl0610,황팀장,확정,5610170326113315,"책상, 신흥, SH-DEAGB11, 1180×780×600~1130mm, 1인용",M201515899,2015-01-26,9533000,폐기,폐품,사용연한경과,2016-02-09,10,2015-01-31
2015-05-13,2015-07-27,매각,hyl0610,황팀장,확정,5610170326113315,"책상, 신흥, SH-DEAGB11, 1180×780×600~1130mm, 1인용",M201515905,2015-01-26,9533000,매각,정비필요품,고장/파손,2015-04-30,10,2015-01-31
2025-01-10,,폐기,hyl0610,황팀장,대기,5610170326113315,"책상, 신흥, SH-DEAGB11, 1180×780×600~1130mm, 1인용",M201515911,2015-01-26,9533000,폐기,폐품,사용연한경과,2015-11-25,10,2015-01-31
2015-12-11,2016-03-05,매각,hyl0610,황팀장,확정,5610170326113315,"책상, 신흥, SH-DEAGB11, 1180×780×600~1130mm, 1인용",M201515917,2015-01-26,9533000,매각,중고품,불용결정,2015-12-07,10,2015-01-31
2019-10-04,2020-01-02,폐기,hyl0610,황팀장,확정,5611210824928465,"책걸상, 의자공장 플러스, PLU-PL01, 575×700×830mm",M201915924,2019-01-12,6379000,폐기,폐품,사용연한경과,2019-10-02,10,2019-01-26
2019-09-01,2019-10-31,폐기,hyl0610,황팀장,확정,5611210824928465,"책걸상, 의자공장 플러스, PLU-PL01, 575×700×830mm",M201915925,2019-01-12,6379000,폐기,정비필요품,고장/파손,2019-08-23,10,2019-01-26
2019-10-24,2019-12-28,폐기,hyl0610,황팀장,확정,5611210824928465,"책걸상, 의자공장 플러스, PLU-PL01, 575×700×830mm",M201915939,2019-01-12,6379000,폐기,폐품,사용연한경과,2019-10-14,10,2019-01-26
2017-02-11,2017-04-24,매각,hyl0610,황팀장,확정,4320180326048280,"하드디스크드라이브, Lenovo, (CN)4XB7A88027, 22TB",M201615962,2016-04-06,5633000,매각,중고품,사업종료,2017-01-28,6,2016-04-15
2017-04-18,2017-05-19,폐기,hyl0610,황팀장,확정,4320180326048280,"하드디스크드라이브, Lenovo, (CN)4XB7A88027, 22TB",M201615963,2016-04-06,5633000,폐기,정비필요품,고장/파손,2017-04-16,6,2016-04-15
2016-08-19,2016-09-27,폐기,hyl0610,황팀장,확정,4320180326048280,"하드디스크드라이브, Lenovo, (CN)4XB7A88027, 22TB",M201615964,2016-04-06,5633000,폐기,폐품,직권 불용(파손/노후),2016-08-12,6,2016-04-15
2019-07-31,2019-09-15,폐기,hyl0610,황팀장,확정,4322261025578661,"허브, Belkin, (US)INC002, 7port",M201815971,2018-08-29,768000,폐기,중고품,사업종료,2019-07-28,5,2018-09-12
2018-12-26,2019-02-06,매각,hyl0610,황팀장,확정,4322261025578661,"허브, Belkin, (US)INC002, 7port",M201815973,2018-08-29,768000,매각,폐품,사용연한경과,2018-12-15,5,2018-09-12
2025-10-20,,폐기,hyl0610,황팀장,대기,4322261025578661,"허브, Belkin, (US)INC002, 7port",M201815974,2018-08-29,768000,폐기,정비필요품,고장/파손,2019-02-11,5,2018-09-12
2019-09-05,2019-10-16,폐기,hyl0610,황팀장,확정,4322261025578661,"허브, Belkin, (US)INC002, 7port",M201815975,2018-08-29,768000,폐기,폐품,사용연한경과,2019-08-25,5,2018-09-12
2025-03-31,,폐기,hyl0610,황팀장,대기,4321150726111329,"데스크톱컴퓨터, 한성컴퓨터, K15-5B71651V0, (내)Ultra 5 235(3.4GHz)/(외)Ultra 5 225(3.3GHz)",M201616003,2016-12-31,7540000,폐기,정비필요품,고장/파손,2017-05-05,5,2017-01-03
2020-01-17,2020-04-03,폐기,hyl0610,황팀장,확정,5610170326113315,"책상, 신흥, SH-DEAGB11, 1180×780×600~1130mm, 1인용",M201916009,2019-03-25,3613000,폐기,폐품,사용연한경과,2020-01-11,10,2019-03-29
2017-07-21,2017-09-02,폐기,hyl0610,황팀장,확정,4411191126082440,"인터랙티브화이트보드, 보성전자, BSI-P24K, 59.94cm, 전자유도방식/전자펜/전자교탁형",M201616023,2016-05-15,26440000,폐기,정비필요품,고장/파손,2017-07-08,7,2016-05-25
2024-01-07,2024-03-27,폐기,hyl0610,황팀장,확정,5611210226112769,"작업용의자, 에코우드, ECO-L003H, 610×680×1185mm",M202216045,2022-12-29,7469000,폐기,폐품,사용연한경과,2023-12-24,10,2023-01-02
2023-09-13,2023-12-01,폐기,hyl0610,황팀장,확정,5611210226112769,"작업용의자, 에코우드, ECO-L003H, 610×680×1185mm",M202216068,2022-12-29,7469000,폐기,정비필요품,고장/파손,2023-09-01,10,2023-01-02
2026-01-01,,매각,hyl0610,황팀장,대기,4410160126057578,"종이절단기, Siser north america, (CN)Romeo, 920×180×200mm",M202216077,2022-03-25,4785000,매각,중고품,사업종료,2022-06-24,8,2022-03-31
2016-06-20,2016-08-06,매각,hyl0610,황팀장,확정,4511160125414806,"포인터, 초이스테크놀로지, XPM180Y, 유효거리 50m",M201616096,2016-03-11,381000,매각,신품,잉여물품,2016-06-11,5,2016-03-22
2022-07-14,2022-08-19,폐기,hyl0610,황팀장,확정,5612179825656485,"칠판보조장, 정운시스템, JWBB18212, (부품)전자칠판거치판, 1800×235×1200mm",M202216109,2022-01-15,8131000,폐기,폐품,사용연한경과,2022-07-01,10,2022-01-25
2023-02-24,2023-03-31,폐기,hyl0610,황팀장,확정,5612179825656485,"칠판보조장, 정운시스템, JWBB18212, (부품)전자칠판거치판, 1800×235×1200mm",M202216113,2022-01-15,8131000,폐기,폐품,사용연한경과,2023-02-14,10,2022-01-25
2020-01-03,2020-03-19,매각,hyl0610,황팀장,확정,5610159725964887,"서랍형수납장, 라온시스템가구, D-400-60-2, 500×400×558mm",M201816150,2018-11-12,1646000,매각,중고품,불용결정,2019-12-20,10,2018-11-15
2020-02-02,2020-04-15,폐기,hyl0610,황팀장,확정,4322260926066170,"라우터, Netgear, (US)PR60X",M201916201,2019-06-10,4051000,폐기,폐품,사용연한경과,2020-01-21,6,2019-06-20
2017-01-29,2017-03-16,폐기,hyl0610,황팀장,확정,4321210525911926,"레이저프린터, Ricoh, (CN)P 310, A4/흑백/32ppm",M201516271,2015-12-25,1581000,폐기,폐품,사용연한경과,2017-01-17,5,2016-01-04
2017-05-07,2017-07-10,폐기,hyl0610,황팀장,확정,4320200525605835,"플래시메모리저장장치, Sandisk, (CN)EXTREME PRO SDXC, 64GB",M201616274,2016-10-31,391000,폐기,중고품,불용결정,2017-05-04,4,2016-11-12
2023-07-15,2023-08-18,매각,hyl0610,황팀장,확정,5610170326113315,"책상, 신흥, SH-DEAGB11, 1180×780×600~1130mm, 1인용",M202216327,2022-07-26,11113000,매각,중고품,불용결정,2023-07-13,10,2022-08-06
2021-03-17,2021-05-17,폐기,hyl0610,황팀장,확정,5611210226112769,"작업용의자, 에코우드, ECO-L003H, 610×680×1185mm",M202016337,2020-09-22,1398000,폐기,폐품,사용연한경과,2021-03-16,10,2020-09-28
2020-01-01,2020-03-11,폐기,hyl0610,황팀장,확정,4322260926066170,"라우터, Netgear, (US)PR60X",M201816364,2018-11-12,1200000,폐기,정비필요품,고장/파손,2019-12-29,6,2018-11-15
2018-06-04,2018-08-19,폐기,hyl0610,황팀장,확정,4320180326048280,"하드디스크드라이브, Lenovo, (CN)4XB7A88027, 22TB",M201716383,2017-12-30,3227000,폐기,정비필요품,고장/파손,2018-05-29,6,2018-01-10
2018-04-17,2018-06-13,폐기,hyl0610,황팀장,확정,4320180326048280,"하드디스크드라이브, Lenovo, (CN)4XB7A88027, 22TB",M201716386,2017-12-30,3227000,폐기,폐품,사용연한경과,2018-04-07,6,2018-01-10
2017-04-23,2017-07-15,폐기,hyl0610,황팀장,확정,5611210824928465,"책걸상, 의자공장 플러스, PLU-PL01, 575×700×830mm",M201616395,2016-11-29,1847000,폐기,폐품,사용연한경과,2017-04-20,10,2016-12-08
2017-03-29,2017-05-12,매각,hyl0610,황팀장,확정,4320180326048280,"하드디스크드라이브, Lenovo, (CN)4XB7A88027, 22TB",M201616416,2016-02-25,7763000,매각,중고품,불용결정,2017-03-22,6,2016-03-02
2017-04-27,2017-06-07,매각,hyl0610,황팀장,확정,4411191126082440,"인터랙티브화이트보드, 보성전자, BSI-P24K, 59.94cm, 전자유도방식/전자펜/전자교탁형",M201616423,2016-08-01,15084000,매각,중고품,불용결정,2017-04-26,7,2016-08-08
2017-06-27,2017-09-14,폐기,hyl0610,황팀장,확정,4321190226108810,"액정모니터, 알파스캔디스플레이, (CN)16T20, 39.5cm",M201616429,2016-11-18,1894000,폐기,폐품,사용연한경과,2017-06-17,5,2016-12-01
2017-03-30,2017-06-23,폐기,hyl0610,황팀장,확정,4321190226108810,"액정모니터, 알파스캔디스플레이, (CN)16T20, 39.5cm",M201616432,2016-11-18,1894000,폐기,폐품,직권 불용(파손/노후),2017-03-25,5,2016-12-01
2017-06-12,2017-08-29,폐기,hyl0610,황팀장,확정,4321190226108810,"액정모니터, 알파스캔디스플레이, (CN)16T20, 39.5cm",M201616434,2016-11-18,1894000,폐기,정비필요품,고장/파손,2017-06-03,5,2016-12-01
2017-07-02,2017-09-17,폐기,hyl0610,황팀장,확정,5611210824928465,"책걸상, 의자공장 플러스, PLU-PL01, 575×700×830mm",M201716461,2017-03-09,8195000,폐기,폐품,직권 불용(파손/노후),2017-06-26,10,2017-03-19
2017-12-06,2018-01-20,폐기,hyl0610,황팀장,확정,5611210824928465,"책걸상, 의자공장 플러스, PLU-PL01, 575×700×830mm",M201716468,2017-03-09,8195000,폐기,폐품,사용연한경과,2017-12-03,10,2017-03-19
2017-12-08,2018-02-12,폐기,hyl0610,황팀장,확정,5611210824928465,"책걸상, 의자공장 플러스, PLU-PL01, 575×700×830mm",M201716475,2017-03-09,8195000,폐기,정비필요품,고장/파손,2017-12-01,10,2017-03-19
2018-02-09,,폐기,hyl0610,황팀장,반려,5611210824928465,"책걸상, 의자공장 플러스, PLU-PL01, 575×700×830mm",M201716477,2017-03-09,8195000,폐기,폐품,사용연한경과,2018-02-03,10,2017-03-19
